Bud-ID;Screen-ID;# of Components
Bug11;48489898a8d2e4e2d8555f6b0db0b164ec504eca57fb6c45d75248611d13c311;5
Bug11;61730fee40943d7766d05209a78150c6b3cb5f45ca1cfb072a033c4a76ccf37a;4
Bug11;2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0;2
Bug1207;eb6da4111270ea94ec69a55cae785c53ed2ad6b94348df6ee85fa35f2999a077;9
Bug1207;08a7a5c6eae540d63dd850953e7f136d6beae66192de039931c889446224bee1;8
Bug1207;e80deefb085209ed2ad96c427d128012ae6995814e0a20065d9a592795345430;19
Bug1207;d5e0c75673dfd1a1b3de273234a28770490bb405dc45c862b09bc284ef4fa8cb;12
Bug1207;59404d9d22d169d1639e302c81c778fc1562a47c81c0270b1076e867649c709a;12
Bug1207;6f48584030afe1f0d8d3909acec62b16693f63172f1ca04f6436d0bfced74101;12
Bug1207;5dcf98b34c0c614b9969f42ea13e657779d0d9dc863b1668798dbab1b9ae11de;12
Bug1207;7289de2d8229b56e93df71cccfefd2138ecd15642c8a33d8a571351dc5863620;18
Bug1207;0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16;2
Bug1207;7aa19921f25b992385a1c60df4d311e9100f7bee37b2ccaf83d99fb38a6b0273;5
Bug1207;01f1f50ec0532fe352d624734f7683c1617391d006249abd8a4f7c1457a1bbfb;3
Bug1207;0fd67831f7147f66f28a7e2ae3887d1918409a1399518c681c0cae3b8a021e75;7
Bug1207;41c674479bba4ab659a87bfb58f7b11a7c0e5d99b19a2c062e66a099055c4c17;5
Bug1207;3043b68403534946382eb9d863b188bef6f42b750a12c5d6152c7a850e9cc1b2;4
Bug1207;35e4eb73a3ca02358d3b8bb06ef5b47ab845bd8e09dc224de865a9bdc4a1a5e6;6
Bug1207;ff634830a9e63d8ba31a69c3353069ae7a6fa9755b875057ae7104b83ea40878;20
Bug1207;1f17a1d8aaab8e33115a64396f9fd6698fbe342934dc326ee5c9ff63e7f5e018;20
Bug1207;51765bdfda61479fd6c9044ba05b4d8ddf462dc03b08933ffedbac9ff6c623c1;18
Bug1207;197cdff0eb2104c4555bf4a94c6dbe431c4804073daa48588d70e8408682e556;25
Bug1207;2c79df447851a923e5eac862d9943f39f04f4a13e7ab6fa3d019972dfdae86c0;24
Bug1207;7df2ca5376b6540b5b822b8dfde509770d6a52545a09f45efe93fbee880d8541;14
Bug1207;afbe9d72e5f5765af967517ef536ac5d28c6be578968726ab7fd17d90c895b0d;6
Bug1207;e4950f4a8a3b014346e1d05800d7ee6cac3a03ce05f338f2bf4af7e5705e525a;4
Bug1207;5e2ccf4d940fa82b6ab0f3ce12592a254bb77552c75306e3baa52fdf8e1bbcd3;9
Bug1207;c8586bca4ec5546140b3af039b61b80abc7fa8848e0a759d07abbe03a477480c;6
Bug1568;227a781df4ae7cc69c7b7f74265dfe02d13a24c5ce6cdce4c6280ea53d0da672;4
Bug1568;c3ace511cc9ec178af968ada69bdc51c522b9c99b74c54dc8e9f7f82d504f55c;54
Bug1568;3fe10187e7b1ac852f544fd9b6f824aa7b7e9aaf57cdc0338292e009bee94105;8
Bug1568;db04b906179c98c613860900737c666e72d3e3324ea6c1ad09d329c2dd507cad;4
Bug1568;255e0d8db77d1ce9e53c2f5fd8ed66e3c375955164339147224b43542281afc2;6
Bug1568;80fb5f189cbea7ec59bf54fa092b75ec7b55450244c52183854325091581014c;19
Bug1568;322fee6d2791b7cb6ac7e9adcbc7303e4fc4af31aca6b715a500c1322e2616d8;9
Bug1568;b04de2a8a39c510bf4b8da79cb9d80836e5ccf315061f4693b1bbd7dccf70891;5
Bug1568;f88594f3597ef40c0f41d4f8e5095db36cce349c756f860ac3908d81c49ad457;5
Bug1568;ef49a2a08445dd4da5401ea511c3e0e704040175b105b2df2767734a038ba5ff;15
Bug1641;67ee73e3a3dbf609170e827659f86fa5f99b6e5ed304f7efaac036ba32305fc1;5
Bug1641;fd9debe790c113593776f85586a7838daff1dfdcb3020ad7f91980cb79b70cf8;14
Bug1641;098e71de2b5b03c53342bb9ce2a6702b14cb599263b774c6d329630683b256fa;4
Bug1641;600cad29130304c4b311ad4c20618c4ae3a2752aa526be663b8cea8306e5bfca;4
Bug1641;45e74d52ccddeb0c60d0782890027787a4b3560d7f442ddf5d30c80f85491ec7;6
Bug1641;1a8646bd92657c695f40ac5c0a5d26ae29e5ef49e9572df8f4d5f1432143d702;2
Bug1641;b054da025d672a043e03a01f9c063f65711333e7479d09cf278ad01acd05ef81;13
Bug1641;408016722dcbdf85047f90c9f9edc63ad130022a2be4b8e8d5c96fd57b913463;7
Bug1641;11d5869ae1fa8d162007db409b391963149c93d8eed43973598f6b86559e51c3;11
Bug1641;07546d2ba78a0d2117e9662bcc39154e72b042bdff144ff6eba4c65e9b3635cf;9
Bug1641;b04de2a8a39c510bf4b8da79cb9d80836e5ccf315061f4693b1bbd7dccf70891;5
Bug1641;68fa7e92bc4ec9e84068eb91ac159421e00dc49e19784b933672dff22d188730;1
Bug1641;c8e8937237dde6802558ad4d8a84861faeab0574c10c6cd2185f8b8738b48607;3
Bug160;bca2d4108556cc5a9680e52a91c38ee6d64ffd15876423d0984052216e33dabb;3
Bug160;e995fcc6dd0d7c342860eb6393b0609ce90bafb993b659b218e1460df72e105d;19
Bug160;b9059d2a8cf1ab928e0838a6b1624af81e395650aa9d87bc0bdb315712a48aab;19
