done,Bug Report ID,Coder,Reviewer,URL,TraceReplayer Sequence Step,OB ID,OB XML ID,OB,Sequence Step,Screenshot Path,(No Aug) Screenshot Path,Command SS,Command SS (NA),Bug type (from taxonomy),Bug type checking (ok/not),Bug type (final),OB category (Easy/Hard),OB category checking (ok/not),OB category (final),OB rating (1-5),OB Rating check,OB Rating (Final),Screen (Old),Screens (Causing),Components (causing) (old),Components (Causing),Screens (Manifesting),Components (Manisfesting),Ground-truth check,Comments,Comment (Antu),Screens (Causing) Final,Components (Causing) Final,Screens (Manifesting) Final,Components (Manifesting) Final,Discourse patterns,Comment (discourse pattern),Discussion
x,2,,Yang,https://github.com/zwieback/FamilyFinance/issues/1,41,0,0,app crash when change view by in report section,41,../burt/data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance41_augmented.png,../burt/data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance41.png,open ../burt/data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance41_augmented.png,open ../burt/data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance41.png,App crashes,,App crashes,Easy,,Easy,3,5,3,4bfa8dc7a47495036edd455e67d3d7f39276498a2ed0a8d362a59d5c7b005b38,,"5,6,8",,,,"4,5,6",,"Components (causing): 5,6,8 looks correct as 4 is just a label and the application crashes when the user clicks on 8.
The previous coding is correct.",4bfa8dc7a47495036edd455e67d3d7f39276498a2ed0a8d362a59d5c7b005b38,"5,6,8",d39c2c754950166798705365a33ee5104463a282c70fbcd711ff3d9f25a7e75b,,S_OB_NEG_COND,,fixed
,,,,,,,,,,,,,,,,,,,,,,,f189f23124c6c372973bbff27e30b7107f27022f74836d7085daf2817f565790,,"5,6,8",,,,"4,5,6",,,f189f23124c6c372973bbff27e30b7107f27022f74836d7085daf2817f565790,"5,6,8",2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,,,,
,,,,,,,,,,,,,,,,,,,,,,,d39c2c754950166798705365a33ee5104463a282c70fbcd711ff3d9f25a7e75b,,,,,,this is the crash screen,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,,,,,,this is the crash screen,,,,,,,,,
x,2,,Yang,https://github.com/zwieback/FamilyFinance/issues/1,41,1,2.2,"when the user changes the appearance of the report from ""view value"" to ""use percent value"" this application will crash and stop working",41,../burt/data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance41_augmented.png,../burt/data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance41.png,open ../burt/data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance41_augmented.png,open ../burt/data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance41.png,App crashes,,App crashes,Easy,,Easy,5,ok,5,4bfa8dc7a47495036edd455e67d3d7f39276498a2ed0a8d362a59d5c7b005b38,,"5,6,8",,,,"4,5,6",,,4bfa8dc7a47495036edd455e67d3d7f39276498a2ed0a8d362a59d5c7b005b38,"5,6,8",d39c2c754950166798705365a33ee5104463a282c70fbcd711ff3d9f25a7e75b,,S_OB_COND_NEG,,fixed
,,,,,,,,,,,,,,,,,,,,,,,f189f23124c6c372973bbff27e30b7107f27022f74836d7085daf2817f565790,,"5,6,8",,,,"4,5,6",,,f189f23124c6c372973bbff27e30b7107f27022f74836d7085daf2817f565790,"5,6,8",2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,,,,
,,,,,,,,,,,,,,,,,,,,,,,d39c2c754950166798705365a33ee5104463a282c70fbcd711ff3d9f25a7e75b,,,,,,this is the crash screen,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,,,,,,this is the crash screen,,,,,,,,,
x,2,,Yang,https://github.com/zwieback/FamilyFinance/issues/1,41,2,3.7,6. see errors,41,../burt/data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance41_augmented.png,../burt/data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance41.png,open ../burt/data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance41_augmented.png,open ../burt/data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance41.png,App crashes,,App crashes,Hard,,Hard,1,ok,1,4bfa8dc7a47495036edd455e67d3d7f39276498a2ed0a8d362a59d5c7b005b38,,"5,6,8",,,,,,,4bfa8dc7a47495036edd455e67d3d7f39276498a2ed0a8d362a59d5c7b005b38,"5,6,8",d39c2c754950166798705365a33ee5104463a282c70fbcd711ff3d9f25a7e75b,,S_OB_VERB_ERROR,,
,,,,,,,,,,,,,,,,,,,,,,,f189f23124c6c372973bbff27e30b7107f27022f74836d7085daf2817f565790,,"5,6,8",,,,,,,f189f23124c6c372973bbff27e30b7107f27022f74836d7085daf2817f565790,"5,6,8",2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,,,,
