Bug-ID;OB-ID;OB-Text;OB-in-Title?;Bug-Category;Bug-Type;OB-Category;OB-Rating;Ground-Truth;Ranked-Documents;First-Rank;Reciprocal-Rank;Average-Precision;h@1;h@2;h@3;h@4;h@5;h@6;h@7;h@8;h@9;h@10
Bug2;0;app crash when change view by in report section;1;Non-Synthetic Bug;App crashes;Easy;3;['5', '6', '8'];{'4': 0.3441811800003052, '7': 0.2874440550804138, '1': 0.28579455614089966, '8': 0.2257973700761795, '0': 0.22088459134101868, '5': 0.20597189664840698, '3': 0.19834989309310913, '2': 0.19239374995231628, '6': 0.14773312211036682};4;0.25;0.3055555555555555;0;0;0;1;1;1;1;1;1;1
Bug2;0;app crash when change view by in report section;1;Non-Synthetic Bug;App crashes;Easy;3;['5', '6', '8'];{'4': 0.3441811800003052, '7': 0.2874440550804138, '1': 0.28579455614089966, '8': 0.2257973700761795, '0': 0.22088459134101868, '5': 0.20597189664840698, '3': 0.19834989309310913, '2': 0.19239374995231628, '6': 0.14773312211036682};4;0.25;0.3055555555555555;0;0;0;1;1;1;1;1;1;1
Bug2;1;"when the user changes the appearance of the report from ""view value"" to ""use percent value"" this application will crash and stop working";0;Non-Synthetic Bug;App crashes;Easy;5;['5', '6', '8'];{'4': 0.3437722325325012, '6': 0.3429586887359619, '5': 0.274463951587677, '0': 0.2629834711551666, '1': 0.20928476750850677, '7': 0.14740005135536194, '2': 0.1287505030632019, '3': 0.12245409190654755, '8': 0.10819040983915329};2;0.5;0.4999999999999999;0;1;1;1;1;1;1;1;1;1
Bug2;1;"when the user changes the appearance of the report from ""view value"" to ""use percent value"" this application will crash and stop working";0;Non-Synthetic Bug;App crashes;Easy;5;['5', '6', '8'];{'4': 0.3437722325325012, '6': 0.3429586887359619, '5': 0.274463951587677, '0': 0.2629834711551666, '1': 0.20928476750850677, '7': 0.14740005135536194, '2': 0.1287505030632019, '3': 0.12245409190654755, '8': 0.10819040983915329};2;0.5;0.4999999999999999;0;1;1;1;1;1;1;1;1;1
Bug2;2;6. see errors;0;Non-Synthetic Bug;App crashes;Hard;1;['5', '6', '8'];{'1': 0.07440876960754395, '4': 0.06568802893161774, '3': 0.040581993758678436, '0': 0.030872244387865067, '2': 0.021024789661169052, '5': 0.013659968972206116, '6': 0.010372895747423172, '7': 0.007710861042141914, '8': -0.05948333442211151};6;0.1666666666666666;0.2619047619047618;0;0;0;0;0;1;1;1;1;1
Bug2;2;6. see errors;0;Non-Synthetic Bug;App crashes;Hard;1;['5', '6', '8'];{'1': 0.07440876960754395, '4': 0.06568802893161774, '3': 0.040581993758678436, '0': 0.030872244387865067, '2': 0.021024789661169052, '5': 0.013659968972206116, '6': 0.010372895747423172, '7': 0.007710861042141914, '8': -0.05948333442211151};6;0.1666666666666666;0.2619047619047618;0;0;0;0;0;1;1;1;1;1
Bug8;0;NPE on create payment;1;Non-Synthetic Bug;App crashes;Easy;2;['0'];{'0': 0.4541984796524048, '1': 0.18170063197612762, '3': 0.15350909531116486, '5': 0.15097729861736298, '4': 0.12087294459342957, '2': 0.11370321363210678};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug10;0;FTP server restarted if app is killed after stopping it;1;Non-Synthetic Bug;Undesirable  behavior ;Hard;4;['2', '3', '4'];{'1': 0.3900667428970337, '0': 0.2687906324863434, '4': 0.210907980799675, '3': 0.1881672888994217, '9': 0.15135414898395538, '19': 0.15135414898395538, '6': 0.12311428785324097, '13': 0.1135992705821991, '15': 0.10396331548690796, '8': 0.0962328165769577, '2': 0.06499843299388885, '12': 0.061007075011730194, '16': 0.06091915816068649, '10': 0.05988835543394089, '17': 0.05753743648529053, '14': 0.048192817717790604, '18': 0.03506225720047951, '11': 0.03141104057431221, '5': 0.02946249395608902, '7': -0.005657125264406204};3;0.3333333333333333;0.3686868686868687;0;0;1;1;1;1;1;1;1;1
Bug10;1;Server restarts by its own.;0;Non-Synthetic Bug;Undesirable  behavior ;Hard;2;['2', '3', '4'];{'0': 0.15412825345993042, '1': 0.14002031087875366, '3': 0.13499483466148376, '4': 0.13040387630462646, '9': 0.10108886659145355, '19': 0.10108886659145355, '13': 0.07975992560386658, '15': 0.07217603176832199, '11': 0.05614032596349716, '5': 0.04682139307260513, '17': 0.0427246056497097, '8': 0.04196314513683319, '2': 0.03876848146319389, '12': 0.020302020013332367, '10': 0.015411126427352428, '14': 0.015215206891298294, '18': 0.004088250920176506, '16': -0.018904227763414383, '7': -0.02228793501853943, '6': -0.02381545677781105};3;0.3333333333333333;0.3547008547008547;0;0;1;1;1;1;1;1;1;1
Bug19;0;cursor jumps before housenumber when adding letter;1;Synthetic Bug;Uneditable component;Easy;4;['1'];{'1': 0.19413690268993378, '13': 0.19242878258228302, '15': 0.15603670477867126, '3': 0.14150090515613556, '2': 0.13469094038009644, '4': 0.126326784491539, '14': 0.11904121190309525, '0': 0.09523767977952957, '5': 0.09190742671489716, '10': 0.09190742671489716, '11': 0.08622890710830688, '16': 0.07371964305639267, '8': 0.06914359331130981, '17': 0.06525446474552155, '7': 0.0628674328327179, '6': 0.03957326337695122, '12': 0.028977425768971443, '9': -0.012335785664618015};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug19;1;"3. the cursor jumps before the number, so when you insert ""a"" you have ""a10"" instead of ""10a""";0;Synthetic Bug;Undesirable component;Easy;5;['1'];{'5': 0.19711890816688538, '10': 0.19711890816688538, '15': 0.07576479017734528, '2': 0.07046717405319214, '13': 0.06510429829359055, '0': 0.04488425701856613, '9': 0.040434580296278, '11': 0.020940106362104416, '4': 0.0073815807700157166, '14': 0.0024885497987270355, '1': -0.005353124812245369, '8': -0.020741568878293037, '7': -0.021823439747095108, '3': -0.022631727159023285, '16': -0.04276932403445244, '12': -0.05353398993611336, '6': -0.05609988421201706, '17': -0.07358936220407486};11;0.0909090909090909;0.0909090909090909;0;0;0;0;0;0;0;0;0;0
Bug44;0;Tag text removal bug by using checkbox;1;Synthetic Bug;Undesirable component;Hard;2;['9'];{'4': 0.36913812160491943, '7': 0.36225196719169617, '11': 0.22350814938545227, '10': 0.20923151075839996, '1': 0.1940663754940033, '13': 0.1865420639514923, '14': 0.1642724573612213, '9': 0.16207817196846008, '8': 0.15036985278129578, '3': 0.13617898523807526, '5': 0.1179085299372673, '2': 0.11773134022951126, '12': 0.08332553505897522, '0': 0.0611412413418293, '6': 0.03729940950870514, '15': -0.036504410207271576};8;0.125;0.125;0;0;0;0;0;0;0;1;1;1
Bug44;0;Tag text removal bug by using checkbox;1;Synthetic Bug;Undesirable component;Hard;2;['9'];{'4': 0.36913812160491943, '7': 0.36225196719169617, '11': 0.22350814938545227, '10': 0.20923151075839996, '1': 0.1940663754940033, '9': 0.1834522932767868, '13': 0.1642724573612213, '8': 0.15036985278129578, '3': 0.13617898523807526, '5': 0.1179085299372673, '2': 0.11773134022951126, '12': 0.1016148030757904, '0': 0.0611412413418293, '6': 0.03729940950870514, '14': -0.036504410207271576};6;0.1666666666666666;0.1666666666666666;0;0;0;0;0;1;1;1;1;1
Bug44;1;Tag text removal bug;0;Synthetic Bug;Undesirable component;Hard;2;['9'];{'7': 0.41149604320526123, '4': 0.40855833888053894, '13': 0.2684633433818817, '11': 0.2525463104248047, '10': 0.2455943077802658, '8': 0.2205110490322113, '2': 0.1777493953704834, '14': 0.17561525106430054, '1': 0.1753115952014923, '9': 0.1724759042263031, '3': 0.16254673898220062, '5': 0.1476759910583496, '12': 0.13582882285118103, '0': 0.07792139053344727, '6': 0.053168587386608124, '15': -0.0003404519520699978};10;0.1;0.1;0;0;0;0;0;0;0;0;0;1
Bug44;1;Tag text removal bug;0;Synthetic Bug;Undesirable component;Hard;2;['9'];{'7': 0.41149604320526123, '4': 0.40855833888053894, '11': 0.2525463104248047, '9': 0.25014057755470276, '10': 0.2455943077802658, '8': 0.2205110490322113, '2': 0.1777493953704834, '13': 0.17561525106430054, '1': 0.1753115952014923, '3': 0.16254673898220062, '5': 0.1476759910583496, '12': 0.124468132853508, '0': 0.07792139053344727, '6': 0.053168587386608124, '14': -0.0003404519520699978};4;0.25;0.25;0;0;0;1;1;1;1;1;1;1
Bug44;2;It seems like it will remove all tags with the same header as the deleted tag.;0;Synthetic Bug;Undesirable component;Hard;3;['9'];{'4': 0.3333466053009033, '7': 0.27158886194229126, '13': 0.173732191324234, '8': 0.12211298942565918, '9': 0.12002918124198914, '10': 0.11949950456619263, '11': 0.10307734459638596, '2': 0.09661221504211426, '5': 0.07605709135532379, '12': 0.06629901379346848, '6': 0.04731035977602005, '3': 0.021585550159215927, '0': -0.006697240751236677, '14': -0.006841842085123062, '1': -0.043896280229091644, '15': -0.05455083027482033};5;0.2;0.2;0;0;0;0;1;1;1;1;1;1
Bug44;2;It seems like it will remove all tags with the same header as the deleted tag.;0;Synthetic Bug;Undesirable component;Hard;3;['9'];{'4': 0.3333466053009033, '7': 0.27158886194229126, '9': 0.14507414400577545, '8': 0.12211298942565918, '10': 0.11949950456619263, '11': 0.10307734459638596, '2': 0.09661221504211426, '5': 0.07605709135532379, '6': 0.04731035977602005, '3': 0.021585550159215927, '12': 0.016054989770054817, '0': -0.006697240751236677, '13': -0.006841842085123062, '1': -0.043896280229091644, '14': -0.05455083027482033};3;0.3333333333333333;0.3333333333333333;0;0;1;1;1;1;1;1;1;1
Bug53;0;New file dialogue always says Type: Markdown rather than previous type used;1;Synthetic Bug;Wrong information is displayed;Easy;4;['4'];{'4': 0.33225059509277344, '1': 0.31493300199508667, '3': 0.301826536655426, '2': 0.29885655641555786, '8': 0.21325011551380157, '11': 0.20006605982780457, '6': 0.18768399953842163, '10': 0.1836405098438263, '5': 0.17559859156608582, '7': 0.17049840092658997, '9': 0.16158053278923035, '0': 0.14260968565940857};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug53;1;This appears to be a cosmetic issue only - the second new file is named something.todo.txt, so the app is correctly remembering the user's last settings, but nonetheless it looks odd and confusing to the user.;0;Synthetic Bug;Wrong information is displayed;Hard;5;['4'];{'9': 0.3472672700881958, '6': 0.3082573413848877, '11': 0.30557507276535034, '4': 0.2910121977329254, '10': 0.28239935636520386, '0': 0.27127447724342346, '8': 0.24145251512527466, '7': 0.2140876054763794, '1': 0.2107737511396408, '2': 0.18975165486335754, '5': 0.13573890924453735, '3': 0.12901148200035095};4;0.25;0.25;0;0;0;1;1;1;1;1;1;1
Bug129;0;App crashes if incorrect secret is entered;1;Non-Synthetic Bug;App crashes;Easy;5;['8'];{'8': 0.35275042057037354, '7': 0.30293524265289307, '12': 0.2999255359172821, '13': 0.22988103330135345, '0': 0.21067453920841217, '10': 0.149399995803833, '11': 0.12116163969039917, '2': 0.12033137679100037, '4': 0.07869096100330353, '6': 0.027114329859614372, '9': -0.023267801851034164, '3': -0.02601972222328186, '1': -0.06651672720909119, '5': -0.07205672562122345};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug129;0;App crashes if incorrect secret is entered;1;Non-Synthetic Bug;App crashes;Easy;5;['8'];{'8': 0.35275042057037354, '7': 0.30293524265289307, '12': 0.2999255359172821, '13': 0.22988103330135345, '0': 0.21067453920841217, '10': 0.149399995803833, '11': 0.12116163969039917, '2': 0.12033137679100037, '4': 0.0790012776851654, '6': 0.027114329859614372, '9': -0.023267801851034164, '3': -0.02601972222328186, '1': -0.06651672720909119, '5': -0.07205672562122345};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug129;1;App crashes.;0;Non-Synthetic Bug;App crashes;Hard;2;['8'];{'12': 0.2825740575790405, '0': 0.19751286506652832, '13': 0.18821166455745697, '2': 0.14142251014709473, '10': 0.12762604653835297, '11': 0.09760785847902298, '7': 0.08803689479827881, '4': 0.08599099516868591, '3': 0.07867361605167389, '9': 0.07678283751010895, '1': 0.05391545593738556, '8': 0.040747009217739105, '5': 0.022887174040079117, '6': 0.010878991335630417};12;0.0833333333333333;0.0833333333333333;0;0;0;0;0;0;0;0;0;0
