Bug-ID;OB-ID;OB-Text;OB-in-Title?;Bug-Category;Bug-Type;OB-Category;OB-Rating;Ground-Truth;First-Rank;Reciprocal-Rank;Average-Precision;h@1;h@2;h@3;h@4;h@5;h@6;h@7;h@8;h@9;h@10
Bug2;0;app crash when change view by in report section;1;Non-Synthetic Bug;App crashes;Easy;3;['d39c2c754950166798705365a33ee5104463a282c70fbcd711ff3d9f25a7e75b', '2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0', '4bfa8dc7a47495036edd455e67d3d7f39276498a2ed0a8d362a59d5c7b005b38', 'f189f23124c6c372973bbff27e30b7107f27022f74836d7085daf2817f565790'];1;1.0;0.5527777777777778;1;1;1;1;1;1;1;1;1;1
Bug2;1;"when the user changes the appearance of the report from ""view value"" to ""use percent value"" this application will crash and stop working";0;Non-Synthetic Bug;App crashes;Easy;5;['d39c2c754950166798705365a33ee5104463a282c70fbcd711ff3d9f25a7e75b', '2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0', '4bfa8dc7a47495036edd455e67d3d7f39276498a2ed0a8d362a59d5c7b005b38', 'f189f23124c6c372973bbff27e30b7107f27022f74836d7085daf2817f565790'];1;1.0;0.5600961538461539;1;1;1;1;1;1;1;1;1;1
Bug2;2;6. see errors;0;Non-Synthetic Bug;App crashes;Hard;1;['d39c2c754950166798705365a33ee5104463a282c70fbcd711ff3d9f25a7e75b', '2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0', '4bfa8dc7a47495036edd455e67d3d7f39276498a2ed0a8d362a59d5c7b005b38', 'f189f23124c6c372973bbff27e30b7107f27022f74836d7085daf2817f565790'];2;0.5;0.416025641025641;0;1;1;1;1;1;1;1;1;1
Bug8;0;NPE on create payment;1;Non-Synthetic Bug;App crashes;Easy;2;['2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0', 'a77eeb613bdff27be2615cea0223f0b093401c8f89baa1926d68c72f9408aa83'];6;0.1666666666666666;0.1233333333333333;0;0;0;0;0;1;1;1;1;1
Bug10;0;FTP server restarted if app is killed after stopping it;1;Non-Synthetic Bug;Undesirable  behavior ;Hard;4;['a0ae2c21a12bc864024f18b7af900668f54e251f7fd5fc6e49da5bf1f8c6a013'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug10;1;Server restarts by its own.;0;Non-Synthetic Bug;Undesirable  behavior ;Hard;2;['a0ae2c21a12bc864024f18b7af900668f54e251f7fd5fc6e49da5bf1f8c6a013'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug18;0;Can't open the add/remove medicine stock dialog;1;Synthetic Bug;Component is not displayed (correctly);Easy;3;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16'];36;0.0277777777777777;0.0277777777777777;0;0;0;0;0;0;0;0;0;0
Bug18;1;I get kicked back to the medicine screen.;0;Synthetic Bug;Component is not displayed (correctly);Hard;2;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16'];35;0.0285714285714285;0.0285714285714285;0;0;0;0;0;0;0;0;0;0
Bug19;0;cursor jumps before housenumber when adding letter;1;Synthetic Bug;Uneditable component;Easy;4;['9253f6a470c03c51c0336600f51a86c0b1bbf467076b4fc430d25a83e2ec7926'];2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug19;1;"3. the cursor jumps before the number, so when you insert ""a"" you have ""a10"" instead of ""10a""";0;Synthetic Bug;Undesirable component;Easy;5;['9253f6a470c03c51c0336600f51a86c0b1bbf467076b4fc430d25a83e2ec7926'];2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug21;0;Long press on a task does not show the task menu.;1;Non-Synthetic Bug;Data is not displayed;Hard;5;['19cb4db7aa36b45e8621d64b696ed9a5a92a3ebb486e89bb1d06a9b8c5aa45a8'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug21;1;"However, long-press now results in a pop-up called ""activities menu"" that is empty,";0;Non-Synthetic Bug;Data is not displayed;Hard;5;['19cb4db7aa36b45e8621d64b696ed9a5a92a3ebb486e89bb1d06a9b8c5aa45a8'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug21;2;"Empty meny shown called ""activities menu"".";0;Synthetic Bug;Component is not displayed (correctly);Hard;3;['19cb4db7aa36b45e8621d64b696ed9a5a92a3ebb486e89bb1d06a9b8c5aa45a8'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug44;0;Tag text removal bug by using checkbox;1;Synthetic Bug;Undesirable component;Hard;2;['954f0c046aa33d91745fc4a7ab5612edcb1d8636b1879359ace038de70d285be', 'a0ee1430817381ead0b5a3e521583bf6a5128b49be69aa023372d4c114493525'];5;0.2;0.225;0;0;0;0;1;1;1;1;1;1
Bug44;1;Tag text removal bug;0;Synthetic Bug;Undesirable component;Hard;2;['954f0c046aa33d91745fc4a7ab5612edcb1d8636b1879359ace038de70d285be', 'a0ee1430817381ead0b5a3e521583bf6a5128b49be69aa023372d4c114493525'];5;0.2;0.2666666666666666;0;0;0;0;1;1;1;1;1;1
Bug44;2;It seems like it will remove all tags with the same header as the deleted tag.;0;Synthetic Bug;Undesirable component;Hard;3;['954f0c046aa33d91745fc4a7ab5612edcb1d8636b1879359ace038de70d285be', 'a0ee1430817381ead0b5a3e521583bf6a5128b49be69aa023372d4c114493525'];5;0.2;0.2111111111111111;0;0;0;0;1;1;1;1;1;1
Bug53;0;New file dialogue always says Type: Markdown rather than previous type used;1;Synthetic Bug;Wrong information is displayed;Easy;4;['f96bea99a9d9d2407a2ee17301c93ab4334275cf97231c28c55bd2f47e5d2a08'];2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug53;1;This appears to be a cosmetic issue only - the second new file is named something.todo.txt, so the app is correctly remembering the user's last settings, but nonetheless it looks odd and confusing to the user.;0;Synthetic Bug;Wrong information is displayed;Hard;5;['f96bea99a9d9d2407a2ee17301c93ab4334275cf97231c28c55bd2f47e5d2a08'];6;0.1666666666666666;0.1666666666666666;0;0;0;0;0;1;1;1;1;1
Bug117;0;Space increase on refresh in Nutrition Facts tab;1;Synthetic Bug;GUI refresh issue;Easy;4;['0c3ff76dd00f39e87d780c124a88f78049b3e5ea87a143b735ad992d55dcaba9', '5190822dc529fe5d177c3c2c1a8524e6ed7e98726d6c18ecc2c4c522c99f323e'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug117;1;The space between each row of nutritional value in Nutrition Facts tab increases on refreshing the data.;0;Synthetic Bug;GUI refresh issue;Easy;5;['0c3ff76dd00f39e87d780c124a88f78049b3e5ea87a143b735ad992d55dcaba9', '5190822dc529fe5d177c3c2c1a8524e6ed7e98726d6c18ecc2c4c522c99f323e'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
