Bug-ID;OB-ID;OB-Text;OB-in-Title?;Bug-Type;OB-Category;OB-Rating;OB-Text;Ground-Truth;Ranked-Document;First-Rank;Reciprocal-Rank;Average-Precision;h@1;h@2;h@3;h@4;h@5;h@6;h@7;h@8;h@9;h@10;Can-Retrieve-Any-Document?
Bug10;0;FTP server restarted if app is killed after stopping it;1;Undesirable  behavior ;Hard;4;FTP server restarted if app is killed after stopping it;[a0ae2c21a12bc864024f18b7af900668f54e251f7fd5fc6e49da5bf1f8c6a013];{a0ae2c21a12bc864024f18b7af900668f54e251f7fd5fc6e49da5bf1f8c6a013=0.05305715, c45908f13fb405bef4c3f89a4e654dac37a1c5ebdeb8ae807e286d7506d450c5=0.03315624, 0f07de9a0c5c5718fc51f783fc6f8aed3f8a87dcc3a8f8f2e437d48cadef943b=0.029302655, 194df85208e4efc3369e1cbffc83cfae9cb5db809635af3804491e5966f2126a=0.029302655, d00b986cc36b96dd9ef7d8ee8da02ceb92fe900401db210022371a98552f0eff=0.029302655, a40476d2cf98ac6f79d61cc121eacc8258f411b8dbbaf5d205c630fc4ecbf35e=0.029302655, 7741f075569d85672942edec3bd3f951f2d3ecbf52164fa9c1295fc3f4afaf1c=0.029302655, 6a889d592a3ca20abe3a51505cc6ad317185584199aa3ad063cb412930c7743e=0.025639823, c293fdb0e82c0463154866eea37879c3e3e00311b1e1adf6d76a89121d5997be=0.025639823, a92536da6b0e0ed03539ad451ca79e6d7b9441f0d499de77515f2e9da10b618c=0.025639823, 1f5c4c825e3c4def0f27e3b07e2b07d91db72954fd0861c8462e399f35a6faff=0.022104157, 83d4d644948d7747a3293f2ae95a57fd391f3be3164eb01736c5a3727ae2ffde=0.022104157, 2cd832250fbbcaf13b4a2f5369de62ae4ca9e8192dbe4c923dc848c0026a7209=0.022104157, dc40c348ec52a32d76d70561225ee4f35c6a7fbc2abb3d2db9a2a6228eba5654=0.02197699, a1c1f82a15f7aff43ec0eeb342ae833df2f53218b59c629052a23a80ba0a2500=0.02197699, 9a8d7e9c37c38e47c6aba6fba3afb88ae73509263f7a75fb4c2e178d609c6a77=0.02197699, 8de935faca46df4dd57db783fe29f7238728e2f4a62a2e4f07eae9b1f772a4f1=0.01657812, 57ef1acebbf3c25daa471138e2d507af8ff002cf011553cae7744e418f077c13=0.011052079};1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1
Bug10;1;Server restarts by its own.;0;Undesirable  behavior ;Hard;2;Server restarts by its own.;[a0ae2c21a12bc864024f18b7af900668f54e251f7fd5fc6e49da5bf1f8c6a013];{a0ae2c21a12bc864024f18b7af900668f54e251f7fd5fc6e49da5bf1f8c6a013=0.058100447, 0f07de9a0c5c5718fc51f783fc6f8aed3f8a87dcc3a8f8f2e437d48cadef943b=0.03873363, 194df85208e4efc3369e1cbffc83cfae9cb5db809635af3804491e5966f2126a=0.03873363, 7741f075569d85672942edec3bd3f951f2d3ecbf52164fa9c1295fc3f4afaf1c=0.03873363, d00b986cc36b96dd9ef7d8ee8da02ceb92fe900401db210022371a98552f0eff=0.03873363, a40476d2cf98ac6f79d61cc121eacc8258f411b8dbbaf5d205c630fc4ecbf35e=0.03873363, 6a889d592a3ca20abe3a51505cc6ad317185584199aa3ad063cb412930c7743e=0.033891927, c293fdb0e82c0463154866eea37879c3e3e00311b1e1adf6d76a89121d5997be=0.033891927, a92536da6b0e0ed03539ad451ca79e6d7b9441f0d499de77515f2e9da10b618c=0.033891927, 9a8d7e9c37c38e47c6aba6fba3afb88ae73509263f7a75fb4c2e178d609c6a77=0.029050224, dc40c348ec52a32d76d70561225ee4f35c6a7fbc2abb3d2db9a2a6228eba5654=0.029050224, a1c1f82a15f7aff43ec0eeb342ae833df2f53218b59c629052a23a80ba0a2500=0.029050224};1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1
Bug1028;0;Glosbe translations broken;1;Undesirable  behavior ;Easy;3;Glosbe translations broken;[b1ccc5135c769fbe2462f1fb52cb382d35671e8279a29d095a249627ee78be1c];{6152751befebb189ade20b7466c42834e159bfae69a0ea425759bc164c74b173=0.35572505, fcf29426d9cf8506eff5fde5bb85be9aaefd7cf7b2b24c42d8775431ec2ef151=0.101635724, b1ccc5135c769fbe2462f1fb52cb382d35671e8279a29d095a249627ee78be1c=0.06352233};3.0;0.3333333333333333;0.3333333333333333;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1
Bug1028;1;Translation failed;0;Undesirable  behavior ;Hard;2;Translation failed;[b1ccc5135c769fbe2462f1fb52cb382d35671e8279a29d095a249627ee78be1c];{6152751befebb189ade20b7466c42834e159bfae69a0ea425759bc164c74b173=0.15347587, b1ccc5135c769fbe2462f1fb52cb382d35671e8279a29d095a249627ee78be1c=0.109625615};2.0;0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1
Bug1033;0;Bug: ""%"" are duplicated in ""Deck options"";1;Undesirable component;Easy;4;Bug: ""%"" are duplicated in ""Deck options"";[7fd0424aaa4d543eecdcce037d9ddef7976d20d63b9096a356995f332eb3a018];{c9a4af7dc69a64bef424d43d3e2c54a03f0a1d75e489fd7419db406a52024032=0.15898746, fb23cbc5cd12c65a8c8f0777d7bc0a55f055c292e4cacf90c237aee594eda23d=0.1429984, 039225dbd9cab02689e2378c553e8a74eff1a91c8fe20f406f51d35489ed1df0=0.04852742, d89637c575976557c4e44020e4bdbb5854a2b369d9b40ecc1c7322433f3e8997=0.03783746, ac68e925ef739eec47310276e8eba8f8796717c6bc573b10b4de5f60abeaa311=0.03783746, 816e53eccdd2669cd55c1d32c0442fc51466f8b31e481e555caf0eb74748900c=0.030691434, d55a7acdf2b052b36c6fbbae4dc6cb45e3a255982264000eff25573a24c8710b=0.021621406, 4b6a791d62ce98249a55fdb694dc0989124f8a131eaf580db6f0af5e6895c31a=0.01891873};0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
Bug1033;1;""%"" are duplicated on 2.9alpha18;0;Undesirable component;Hard;2;""%"" are duplicated on 2.9alpha18;[7fd0424aaa4d543eecdcce037d9ddef7976d20d63b9096a356995f332eb3a018];{cfd1f340b3d375361e6eba7796f2f9ace122df831bd52949ac89232d95354884=0.09661473, 30df8869f15c2af0d3241e799148510514ac99771378ce5dfa107b3f23bd27fd=0.09661473};0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
Bug106;0;unable to play from folder view since 0.21.0;1;Undesirable  behavior ;Hard;3;unable to play from folder view since 0.21.0;[762b11e4e39c118bd56bcff62a88c46cedab35210b446df8a52a4d1d1e02e74d];{9180a4ea4df47a54a7f9d9a22b23c320ad78d9b631b70dba1d5f7a9de42aa8dc=0.1590559, b199c455073b0e8aae5bee50ab478eb0d84daa64ba37ab00932813aaadc1c66f=0.14938825, 8f776a6a5481f31d7f180d7f67c5d106c79909097927b24b0b8fffeb3c8dd94b=0.10999969, 579e5bc4b0ba2305100676fe69ec1695ee5f6717efd0f260a93fd00e6e6c3b5d=0.09744096, 557539624a9dde94af452f3ead5c43c43741ec705fa085cba4ed4f662a87e64a=0.06496064, b75ba42f10984e04c726e7ffbcc34ea63e0c57094705c754f878b857340f96e3=0.047960974, 6badd99efd2e670ca6db6b81215f0de4277a654ef95efdd51e5b633a6f1dbc32=0.047960974, ed7c9522473910172437947cbb13b4b2a987ac8c95e0cd15c2066f40c71bc0c8=0.025973644, 4808c09219a59112505e0c35ee622a5768179780cd09dc3f6e4f392ff4e9b3e1=0.025973644, 15700ec65d1f7055eb5859f445b8b15472828f0f69fedf86fa54f88f816e5d97=0.024488186, 11b89c8e7086063b0460d71aef0cd6c9d0105bc24c8a0c495844ada324faf16d=0.021644704, f48773fda13fbfa4de530a48ff256b945ba2dc9cd4cdc344b3545675cce71385=0.021644704, 64ac367e6738c6608f4652fff7e213a1d1b3105fe217de89a0343cb8323e822c=0.021644704};0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
Bug106;1;Since I installed the latest update 0.21.0, I am unable to play media from the folder view.;0;Undesirable  behavior ;Hard;4;Since I installed the latest update 0.21.0, I am unable to play media from the folder view.;[762b11e4e39c118bd56bcff62a88c46cedab35210b446df8a52a4d1d1e02e74d];{8f776a6a5481f31d7f180d7f67c5d106c79909097927b24b0b8fffeb3c8dd94b=0.051767685, b75ba42f10984e04c726e7ffbcc34ea63e0c57094705c754f878b857340f96e3=0.03663878, 6badd99efd2e670ca6db6b81215f0de4277a654ef95efdd51e5b633a6f1dbc32=0.03663878, 9180a4ea4df47a54a7f9d9a22b23c320ad78d9b631b70dba1d5f7a9de42aa8dc=0.032901555, b199c455073b0e8aae5bee50ab478eb0d84daa64ba37ab00932813aaadc1c66f=0.030901752, 579e5bc4b0ba2305100676fe69ec1695ee5f6717efd0f260a93fd00e6e6c3b5d=0.02015618, 0de81c6ee546a153a5384b40f229b2d920375f82815897224de98af91a06ae94=0.016796816, 557539624a9dde94af452f3ead5c43c43741ec705fa085cba4ed4f662a87e64a=0.013437453, ed7c9522473910172437947cbb13b4b2a987ac8c95e0cd15c2066f40c71bc0c8=0.0053727864, 4808c09219a59112505e0c35ee622a5768179780cd09dc3f6e4f392ff4e9b3e1=0.0053727864, 15700ec65d1f7055eb5859f445b8b15472828f0f69fedf86fa54f88f816e5d97=0.005065511, 11b89c8e7086063b0460d71aef0cd6c9d0105bc24c8a0c495844ada324faf16d=0.0044773216, f48773fda13fbfa4de530a48ff256b945ba2dc9cd4cdc344b3545675cce71385=0.0044773216, 64ac367e6738c6608f4652fff7e213a1d1b3105fe217de89a0343cb8323e822c=0.0044773216};0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
Bug106;2;Touching a song has no effect, neither has selecting the song by long pressing and then using ""add to playlist"" or by using the song menu and selecting ""play next"".;0;Undesirable  behavior ;Hard;4;Touching a song has no effect, neither has selecting the song by long pressing and then using ""add to playlist"" or by using the song menu and selecting ""play next"".;[762b11e4e39c118bd56bcff62a88c46cedab35210b446df8a52a4d1d1e02e74d];{15700ec65d1f7055eb5859f445b8b15472828f0f69fedf86fa54f88f816e5d97=0.14452356, 8f776a6a5481f31d7f180d7f67c5d106c79909097927b24b0b8fffeb3c8dd94b=0.13651086, ed7c9522473910172437947cbb13b4b2a987ac8c95e0cd15c2066f40c71bc0c8=0.10659895, 4808c09219a59112505e0c35ee622a5768179780cd09dc3f6e4f392ff4e9b3e1=0.10659895, 64ac367e6738c6608f4652fff7e213a1d1b3105fe217de89a0343cb8323e822c=0.10015329, b199c455073b0e8aae5bee50ab478eb0d84daa64ba37ab00932813aaadc1c66f=0.088243425, d590ed3159e359672751fcb9c1ebeee4d2dfa662ec0af48bad6ea025143579ca=0.06904301, b75ba42f10984e04c726e7ffbcc34ea63e0c57094705c754f878b857340f96e3=0.06418517, 0d071e7798cf20f9cd78ebef3c443eb996e6a83eb185c32343e117c1be2be26f=0.0053022727, 6badd99efd2e670ca6db6b81215f0de4277a654ef95efdd51e5b633a6f1dbc32=0.0050253286, 0cfb0da747e1a6f5d54cd175fb105e8307e9f15a93c7b23a4184076c36523b4d=0.004686591, 51df09dcaae25b9112cd5959f4fec058cb2479f5dc73b0ae4a8b55c1a99c3e00=0.0046421997, 762b11e4e39c118bd56bcff62a88c46cedab35210b446df8a52a4d1d1e02e74d=0.0032825307, 9180a4ea4df47a54a7f9d9a22b23c320ad78d9b631b70dba1d5f7a9de42aa8dc=0.0025747935, 11b89c8e7086063b0460d71aef0cd6c9d0105bc24c8a0c495844ada324faf16d=0.0018391383, f48773fda13fbfa4de530a48ff256b945ba2dc9cd4cdc344b3545675cce71385=0.0018391383};13.0;0.07692307692307693;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
Bug1066;0;URL bar text sometimes cleared when pressing near url bar;1;Text in Component disappears;Easy;4;URL bar text sometimes cleared when pressing near url bar;[33e4756242435b50d079669e652590d157833154ee83e25427874319e041be1b, 716d4ada420fc55a4b7560a2ce89a0b2b2ad1f0646fc8e32a125f8db78dda838, ee923fe4324899f33f6e12779cee57014b1fd5225adc7d12b631978a89de6bf4];{ee923fe4324899f33f6e12779cee57014b1fd5225adc7d12b631978a89de6bf4=0.1849139, 5bb04c51846e1e070d6008623be41376e4c5602317567440e10162ee17a368b5=0.10534358, 04124205bdbca57e1c619f71cdb9560d45d2b654b766832b625b20474d93c2b4=0.07602146, 94a63499066f0d9131737484ba22e1a5a9132fe87aa6ebca56d8280e4ad9dda0=0.06450973, 33e4756242435b50d079669e652590d157833154ee83e25427874319e041be1b=0.057016097, 96f39aabed2b44fa834a218281f5bccf2f19445e46eb331dbcb029574f992802=0.048382297, f04562db81bf3cfb9dfc2c27cedc166d0d96927abea5a931f59ec0bb16a8653b=0.048382297, 921526f6f9a43a1933ee25121a10ba1c5392bd6826cdec2157315fd1e3f50b9a=0.048382297, a90bfef0efd9f5ba93945ee556dfff2ea41dd517cb4a6f2b83cafbaf704946eb=0.044601243, 0c41752f388de7904fcc44272425d888d3d1a7ce8b1e28db61ce8a62aca5071d=0.04031858, 5d8bd3e33f583f7da0bd234effcfbef3ca1731f41f84b14b01007cb17dc72932=0.04031858, fa7ca276c467f57adde42f80b25f1973629d2146a1f58cfc2800906806c74ecd=0.04031858, b2b5c410502f9d83eb24d9cbb6e9221e069ebdcca05e60e6a287c560fff8c74d=0.04031858, bd440b9e8766d86adcc0e7f312ba61009bf251152704e13b70a9a9570b17550e=0.04031858, c2c5d8fa7edfb50b7c7185e2589a3c8327c9a8222028e054ddfd8287f53fbc5b=0.04031858, 57adeaa817cceaa3814d4537b92ab84bea0d076b91997d5d3805ced10ea1c634=0.04031858, 6fd86d95514344eed4eaf26f876e7310e243f3e4c0034793c71b6a41658a1d54=0.036102585, f3b30079462d683aff5ba83eb8d54646cfe559c75d02e60b48def174eea95d1f=0.03473973, bbc52346a2ccc7ecf6523490d1a08526ad984127dccd5dceeb3c401b6d9abc44=0.032254864, 930bd4f2681acd33db29d0440e311134bf10397d17cc2316dfa1d0de41c6694a=0.032254864, 8630286bf8776e5427e5fb282d43edcb74f8e965f7a94fb37f8f4b55df0bcbe1=0.032254864, 716d4ada420fc55a4b7560a2ce89a0b2b2ad1f0646fc8e32a125f8db78dda838=0.019651758, ff9400a05df4368125e354adb0a667b835426e7c31a6307c776649dbbeaedbf7=0.016809724, 7b79ef4e0be323ac27c570dc25070a1f7830cb3057d05408136b125a1a60b152=0.01344778, 9677d529bc26a4fa3165ad900e962571edc2f05472da101f4fce1a2ba143bdda=0.01344778, c1a043097e612905f4bfaa231385399355898102d6b59d0e685e89c80376f29f=0.01344778};1.0;1.0;0.5121212121212121;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1
