Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@2,Hit@3,Hit@4,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,GUI_States,NO,None,None,3,1.3571428571428572,28,30,0.26582278481012656,0.31645569620253167,0.35443037974683544,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.3417721518987342,0.35443037974683544,0.35443037974683544,0.34810126582278483,0.3037974683544304,0.23333333333333334,"['11', '18', '19', '1563', '53', '1096', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '201', '1224', '206', '1399', '1402', '1428', '1430', '1481']"
Filtering,All_GUI_Component_IDs,NO,None,None,3,8.948717948717949,78,125,0.4050632911392405,0.5189873417721519,0.569620253164557,0.5949367088607594,0.6329113924050633,0.7088607594936709,56,0.6113924050632912,0.7974683544303798,0.8354430379746836,0.69873417721519,0.5168455763457825,0.4298286363020659,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,3,8.948717948717949,78,125,0.4050632911392405,0.5189873417721519,0.569620253164557,0.5949367088607594,0.6329113924050633,0.7088607594936709,56,0.6113924050632912,0.7974683544303798,0.8354430379746836,0.69873417721519,0.5168455763457825,0.4298286363020659,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,GUI_States,None,3,1.4285714285714286,28,30,0.26582278481012656,0.3037974683544304,0.34177215189873417,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.33924050632911396,0.35443037974683544,0.35443037974683544,0.3468354430379747,0.30063291139240506,0.23016877637130803,"['11', '18', '19', '1563', '53', '1096', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '201', '1224', '206', '1399', '1402', '1428', '1430', '1481']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,3,9.012820512820513,78,125,0.379746835443038,0.5063291139240507,0.569620253164557,0.5949367088607594,0.6455696202531646,0.7215189873417721,57,0.6164556962025317,0.7974683544303798,0.8860759493670886,0.7139240506329114,0.5044031315913491,0.4226613401359629,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,3,9.012820512820513,78,125,0.379746835443038,0.5063291139240507,0.569620253164557,0.5949367088607594,0.6455696202531646,0.7215189873417721,57,0.6164556962025317,0.7974683544303798,0.8860759493670886,0.7139240506329114,0.5044031315913491,0.4226613401359629,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,All_GUI_Component_IDs,None,3,1.6071428571428572,28,30,0.20253164556962025,0.31645569620253167,0.34177215189873417,0.34177215189873417,0.35443037974683544,0.35443037974683544,28,0.3329113924050633,0.35443037974683544,0.35443037974683544,0.34367088607594937,0.27046413502109706,0.21914556962025317,"['11', '18', '19', '1563', '53', '1096', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '201', '1224', '206', '1399', '1402', '1428', '1430', '1481']"
Filtering,All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,10.85897435897436,78,125,0.3037974683544304,0.4430379746835443,0.4810126582278481,0.5443037974683544,0.6329113924050633,0.7721518987341772,61,0.6012658227848102,0.8227848101265823,0.8734177215189873,0.7145569620253164,0.44702983395082413,0.3963133812945369,"['2', '8', '10', '11', '18', '19', '1563', '1568', '54', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '159', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1223', '1224', '1228', '248', '256', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,10.85897435897436,78,125,0.3037974683544304,0.4430379746835443,0.4810126582278481,0.5443037974683544,0.6329113924050633,0.7721518987341772,61,0.6012658227848102,0.8227848101265823,0.8734177215189873,0.7145569620253164,0.44702983395082413,0.3963133812945369,"['2', '8', '10', '11', '18', '19', '1563', '1568', '54', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '159', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1223', '1224', '1228', '248', '256', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,3,1.6071428571428572,28,30,0.20253164556962025,0.31645569620253167,0.34177215189873417,0.34177215189873417,0.35443037974683544,0.35443037974683544,28,0.3329113924050633,0.35443037974683544,0.35443037974683544,0.34367088607594937,0.27046413502109706,0.21914556962025317,"['11', '18', '19', '1563', '53', '1096', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '201', '1224', '206', '1399', '1402', '1428', '1430', '1481']"
Filtering,All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,3,11.192307692307692,78,125,0.2911392405063291,0.4430379746835443,0.4936708860759494,0.569620253164557,0.6329113924050633,0.7848101265822784,62,0.6075949367088607,0.810126582278481,0.8607594936708861,0.7164556962025316,0.4433059835556401,0.3967240132156922,"['2', '8', '10', '11', '18', '19', '1563', '1568', '54', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1150', '1151', '128', '129', '130', '158', '159', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1223', '1224', '1228', '248', '256', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,3,11.192307692307692,78,125,0.2911392405063291,0.4430379746835443,0.4936708860759494,0.569620253164557,0.6329113924050633,0.7848101265822784,62,0.6075949367088607,0.810126582278481,0.8607594936708861,0.7164556962025316,0.4433059835556401,0.3967240132156922,"['2', '8', '10', '11', '18', '19', '1563', '1568', '54', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1150', '1151', '128', '129', '130', '158', '159', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1223', '1224', '1228', '248', '256', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
