Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@2,Hit@3,Hit@4,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,GUI_States,NO,None,None,4,1.5,24,26,0.22077922077922077,0.24675324675324675,0.3116883116883117,0.3116883116883117,0.3116883116883117,0.3116883116883117,24,0.2961038961038961,0.3116883116883117,0.3116883116883117,0.30389610389610394,0.2554112554112554,0.20032467532467532,"['18', '19', '53', '117', '128', '130', '135', '206', '1096', '1202', '1224', '1399', '1430', '1481', '192', '200', '1146', '1151', '1205', '1563', '1428', '159', '1130', '1402']"
Filtering,All_GUI_Component_IDs,NO,None,None,4,9.368421052631579,76,117,0.4025974025974026,0.5194805194805194,0.5584415584415584,0.5844155844155844,0.6103896103896104,0.7012987012987013,54,0.6,0.7792207792207793,0.8311688311688312,0.6896103896103897,0.5119014853445508,0.4338450114884134,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '209', '1096', '1202', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '76', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1641', '55', '56', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,4,9.381578947368421,76,117,0.4025974025974026,0.5194805194805194,0.5584415584415584,0.5844155844155844,0.6103896103896104,0.7012987012987013,54,0.6,0.7792207792207793,0.8311688311688312,0.6896103896103897,0.5118758193109796,0.4338193454548422,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '209', '1096', '1202', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '76', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1641', '55', '56', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '1640']"
Filtering,GUI_States,NO,GUI_States,None,4,1.5833333333333333,24,26,0.2077922077922078,0.23376623376623376,0.3116883116883117,0.3116883116883117,0.3116883116883117,0.3116883116883117,24,0.29350649350649355,0.3116883116883117,0.3116883116883117,0.30259740259740264,0.2467532467532467,0.1936147186147186,"['18', '19', '53', '117', '128', '130', '135', '206', '1096', '1202', '1224', '1399', '1430', '1481', '192', '200', '1146', '1151', '1205', '1563', '1428', '159', '1130', '1402']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,4,9.56578947368421,76,117,0.36363636363636365,0.5194805194805194,0.5714285714285714,0.5974025974025974,0.6363636363636364,0.7142857142857143,55,0.6077922077922078,0.8051948051948052,0.8701298701298701,0.7064935064935065,0.49670502197568495,0.4206199290746678,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '209', '1096', '1202', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '76', '92', '158', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1641', '55', '56', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,4,9.578947368421053,76,117,0.36363636363636365,0.5194805194805194,0.5714285714285714,0.5974025974025974,0.6363636363636364,0.7142857142857143,55,0.6077922077922078,0.8051948051948052,0.8701298701298701,0.7058441558441559,0.49666704825350066,0.42058195535248355,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '209', '1096', '1202', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '76', '92', '158', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1641', '55', '56', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '1640']"
Filtering,GUI_States,NO,All_GUI_Component_IDs,None,4,1.5416666666666667,24,26,0.18181818181818182,0.2857142857142857,0.2987012987012987,0.3116883116883117,0.3116883116883117,0.3116883116883117,24,0.29480519480519485,0.3116883116883117,0.3116883116883117,0.30324675324675326,0.24134199134199133,0.19572510822510822,"['18', '19', '53', '117', '128', '130', '135', '206', '1096', '1202', '1224', '1399', '1430', '1481', '192', '200', '1146', '1151', '1205', '1563', '1428', '159', '1130', '1402']"
Filtering,All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,4,11.276315789473685,76,117,0.2857142857142857,0.44155844155844154,0.4805194805194805,0.5454545454545454,0.5974025974025974,0.7532467532467533,58,0.5766233766233768,0.8311688311688312,0.8571428571428571,0.703896103896104,0.43352443761585735,0.39177035757533873,"['8', '10', '18', '19', '117', '128', '130', '206', '256', '1096', '1202', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '54', '76', '92', '158', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1223', '1641', '55', '56', '1213', '1222', '1428', '84', '159', '193', '275', '1089', '1130', '1402', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,4,11.276315789473685,76,117,0.2857142857142857,0.44155844155844154,0.4805194805194805,0.5454545454545454,0.5974025974025974,0.7532467532467533,58,0.5766233766233768,0.8311688311688312,0.8571428571428571,0.703896103896104,0.43352443761585735,0.39177035757533873,"['8', '10', '18', '19', '117', '128', '130', '206', '256', '1096', '1202', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '54', '76', '92', '158', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1223', '1641', '55', '56', '1213', '1222', '1428', '84', '159', '193', '275', '1089', '1130', '1402', '1640']"
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,4,1.5416666666666667,24,26,0.18181818181818182,0.2857142857142857,0.2987012987012987,0.3116883116883117,0.3116883116883117,0.3116883116883117,24,0.29480519480519485,0.3116883116883117,0.3116883116883117,0.30324675324675326,0.24134199134199133,0.19572510822510822,"['18', '19', '53', '117', '128', '130', '135', '206', '1096', '1202', '1224', '1399', '1430', '1481', '192', '200', '1146', '1151', '1205', '1563', '1428', '159', '1130', '1402']"
Filtering,All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,4,11.578947368421053,76,117,0.2597402597402597,0.4155844155844156,0.5194805194805194,0.5844155844155844,0.5974025974025974,0.7402597402597403,57,0.5818181818181818,0.8181818181818182,0.8571428571428571,0.703896103896104,0.422066233367822,0.3847583640079369,"['8', '10', '18', '19', '117', '128', '130', '206', '256', '1096', '1202', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '54', '76', '92', '158', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1223', '1641', '55', '56', '1213', '1428', '84', '159', '193', '275', '1089', '1130', '1402', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,4,11.56578947368421,76,117,0.2597402597402597,0.4155844155844156,0.5194805194805194,0.5844155844155844,0.5974025974025974,0.7402597402597403,57,0.5831168831168831,0.8181818181818182,0.8571428571428571,0.7045454545454547,0.4222105335121222,0.384902664152237,"['8', '10', '18', '19', '117', '128', '130', '206', '256', '1096', '1202', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '54', '76', '92', '158', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1223', '1641', '55', '56', '1213', '1428', '84', '159', '193', '275', '1089', '1130', '1402', '1640']"
Filtering,GUI_States,NO,None,GUI_States,4,2.0,24,26,0.16883116883116883,0.22077922077922077,0.2597402597402597,0.2987012987012987,0.2987012987012987,0.3116883116883117,24,0.2805194805194805,0.3116883116883117,0.3116883116883117,0.2961038961038961,0.21969696969696967,0.18629148629148629,"['18', '19', '53', '117', '128', '130', '135', '206', '1096', '1202', '1224', '1399', '1430', '1481', '192', '200', '1146', '1151', '1205', '1563', '1428', '159', '1130', '1402']"
Filtering,All_GUI_Component_IDs,NO,None,GUI_States,4,19.984375,64,100,0.06493506493506493,0.12987012987012986,0.19480519480519481,0.3246753246753247,0.3246753246753247,0.4935064935064935,38,0.3181818181818182,0.5454545454545454,0.6103896103896104,0.43636363636363634,0.18650933481161117,0.17128601667271398,"['10', '19', '117', '128', '129', '130', '135', '1096', '1202', '1207', '1224', '1299', '1430', '1481', '54', '192', '199', '200', '1150', '1198', '1228', '1389', '1446', '71', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1223', '1428', '84', '159', '193', '1089', '1130']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_States,4,20.015625,64,100,0.06493506493506493,0.12987012987012986,0.19480519480519481,0.3246753246753247,0.3246753246753247,0.4935064935064935,38,0.3155844155844156,0.5454545454545454,0.6103896103896104,0.43506493506493504,0.18618465948693583,0.17096134134803864,"['10', '19', '117', '128', '129', '130', '135', '1096', '1202', '1207', '1224', '1299', '1430', '1481', '54', '192', '199', '200', '1150', '1198', '1228', '1389', '1446', '71', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1223', '1428', '84', '159', '193', '1089', '1130']"
Filtering,GUI_States,NO,None,All_GUI_Component_IDs,4,1.7083333333333333,24,26,0.14285714285714285,0.2727272727272727,0.2987012987012987,0.3116883116883117,0.3116883116883117,0.3116883116883117,24,0.2896103896103896,0.3116883116883117,0.3116883116883117,0.30064935064935067,0.21969696969696967,0.1803030303030303,"['18', '19', '53', '117', '128', '130', '135', '206', '1096', '1202', '1224', '1399', '1430', '1481', '192', '200', '1146', '1151', '1205', '1563', '1428', '159', '1130', '1402']"
Filtering,All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,4,17.592105263157894,76,117,0.19480519480519481,0.3246753246753247,0.4025974025974026,0.42857142857142855,0.4805194805194805,0.6493506493506493,50,0.4805194805194805,0.7402597402597403,0.7402597402597403,0.6019480519480519,0.33854218872471376,0.30364957429540845,"['18', '117', '128', '129', '130', '135', '256', '1096', '1202', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1481', '1645', '54', '158', '160', '192', '199', '200', '1150', '1198', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '1563', '1223', '1641', '56', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,All_GUI_Component_IDs,4,17.592105263157894,76,117,0.19480519480519481,0.3246753246753247,0.4025974025974026,0.42857142857142855,0.4805194805194805,0.6493506493506493,50,0.4805194805194805,0.7402597402597403,0.7402597402597403,0.6019480519480519,0.33854218872471376,0.30364957429540845,"['18', '117', '128', '129', '130', '135', '256', '1096', '1202', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1481', '1645', '54', '158', '160', '192', '199', '200', '1150', '1198', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '1563', '1223', '1641', '56', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '1640']"
Filtering,GUI_States,NO,None,GUI_State_and_All_GUI_Component_IDs,4,1.7083333333333333,24,26,0.15584415584415584,0.2597402597402597,0.2987012987012987,0.3116883116883117,0.3116883116883117,0.3116883116883117,24,0.2896103896103896,0.3116883116883117,0.3116883116883117,0.30064935064935067,0.22402597402597402,0.18138528138528137,"['18', '19', '53', '117', '128', '130', '135', '206', '1096', '1202', '1224', '1399', '1430', '1481', '192', '200', '1146', '1151', '1205', '1563', '1428', '159', '1130', '1402']"
Filtering,All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,4,15.513157894736842,76,117,0.19480519480519481,0.33766233766233766,0.42857142857142855,0.4675324675324675,0.5194805194805194,0.6623376623376623,51,0.5012987012987014,0.7402597402597403,0.7792207792207793,0.6194805194805194,0.3491742803068322,0.3137626143627248,"['18', '19', '117', '128', '129', '130', '135', '256', '1096', '1202', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1481', '1645', '54', '158', '160', '192', '199', '200', '1150', '1198', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '1563', '1223', '1641', '56', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,GUI_State_and_All_GUI_Component_IDs,4,15.5,76,117,0.19480519480519481,0.33766233766233766,0.42857142857142855,0.4805194805194805,0.5194805194805194,0.6623376623376623,51,0.5025974025974025,0.7402597402597403,0.7792207792207793,0.6201298701298701,0.34982363095618285,0.3144119650120754,"['18', '19', '117', '128', '129', '130', '135', '256', '1096', '1202', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1481', '1645', '54', '158', '160', '192', '199', '200', '1150', '1198', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '1563', '1223', '1641', '56', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '1640']"
Boosting,NO,GUI_States,None,None,4,9.421052631578947,76,125,0.2857142857142857,0.33766233766233766,0.5064935064935064,0.5974025974025974,0.6883116883116883,0.7662337662337663,59,0.6168831168831168,0.8181818181818182,0.8571428571428571,0.7136363636363637,0.4297865292519666,0.37259455058288954,"['8', '10', '18', '19', '53', '117', '128', '129', '130', '135', '206', '209', '1096', '1202', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '76', '92', '158', '160', '162', '192', '199', '200', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1641', '55', '56', '1213', '1222', '1428', '84', '159', '193', '275', '1089', '1130', '1402', '1640']"
Boosting,NO,All_GUI_Component_IDs,None,None,4,9.368421052631579,76,125,0.4025974025974026,0.5194805194805194,0.5584415584415584,0.5844155844155844,0.6103896103896104,0.7012987012987013,54,0.6,0.7792207792207793,0.8311688311688312,0.6896103896103897,0.5119014853445508,0.4357147348219976,"['2', '8', '10', '18', '19', '117', '128', '129', '130', '209', '1096', '1202', '1214', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '76', '92', '158', '160', '162', '199', '200', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1641', '55', '56', '1213', '1222', '1428', '84', '193', '275', '1089', '1130', '1640']"
