Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@2,Hit@3,Hit@4,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,GUI_States,NO,None,None,4,1.4583333333333333,24,26,0.2077922077922078,0.2727272727272727,0.3116883116883117,0.3116883116883117,0.3116883116883117,0.3116883116883117,24,0.29740259740259745,0.3116883116883117,0.3116883116883117,0.30454545454545456,0.2532467532467532,0.20259740259740258,"['18', '19', '53', '117', '128', '130', '135', '206', '1096', '1202', '1224', '1399', '1430', '1481', '192', '200', '1146', '1151', '1205', '1563', '1428', '159', '1130', '1402']"
Filtering,All_GUI_Component_IDs,NO,None,None,4,5.552631578947368,76,117,0.4025974025974026,0.5584415584415584,0.6623376623376623,0.7012987012987013,0.7402597402597403,0.8311688311688312,64,0.7077922077922079,0.9090909090909091,0.922077922077922,0.8058441558441558,0.5543262426637003,0.49355403228068484,"['2', '8', '10', '18', '19', '44', '53', '128', '129', '130', '135', '209', '1073', '1096', '1202', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '76', '92', '158', '160', '162', '199', '200', '1150', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '1445', '248', '1563', '1223', '1641', '55', '56', '1213', '1222', '1428', '84', '87', '159', '193', '275', '1089', '1130', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,4,5.565789473684211,76,117,0.4025974025974026,0.5584415584415584,0.6623376623376623,0.7012987012987013,0.7402597402597403,0.8311688311688312,64,0.7077922077922079,0.9090909090909091,0.922077922077922,0.8058441558441558,0.5543131509167376,0.49354094053372216,"['2', '8', '10', '18', '19', '44', '53', '128', '129', '130', '135', '209', '1073', '1096', '1202', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '76', '92', '158', '160', '162', '199', '200', '1150', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '1445', '248', '1563', '1223', '1641', '55', '56', '1213', '1222', '1428', '84', '87', '159', '193', '275', '1089', '1130', '1640']"
Filtering,GUI_States,NO,GUI_States,None,4,1.6666666666666667,24,26,0.19480519480519481,0.24675324675324675,0.2987012987012987,0.2987012987012987,0.3116883116883117,0.3116883116883117,24,0.2909090909090909,0.3116883116883117,0.3116883116883117,0.3012987012987013,0.24069264069264068,0.19112554112554112,"['18', '19', '53', '117', '128', '130', '135', '206', '1096', '1202', '1224', '1399', '1430', '1481', '192', '200', '1146', '1151', '1205', '1563', '1428', '159', '1130', '1402']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,4,5.5,76,117,0.38961038961038963,0.5194805194805194,0.6103896103896104,0.6623376623376623,0.7662337662337663,0.8701298701298701,67,0.7038961038961038,0.922077922077922,0.948051948051948,0.8116883116883116,0.5376865056486905,0.48018781308700165,"['2', '8', '10', '18', '19', '44', '53', '128', '129', '130', '135', '209', '256', '1073', '1096', '1202', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '76', '92', '158', '160', '162', '192', '199', '200', '1150', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '1445', '248', '1563', '1223', '1641', '55', '56', '1213', '1222', '1428', '84', '87', '159', '193', '275', '1089', '1130', '1402', '1640']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,4,5.5131578947368425,76,117,0.38961038961038963,0.5194805194805194,0.6103896103896104,0.6623376623376623,0.7662337662337663,0.8701298701298701,67,0.7038961038961038,0.922077922077922,0.948051948051948,0.811038961038961,0.5376387592774148,0.4801400667157259,"['2', '8', '10', '18', '19', '44', '53', '128', '129', '130', '135', '209', '256', '1073', '1096', '1202', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '76', '92', '158', '160', '162', '192', '199', '200', '1150', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '1445', '248', '1563', '1223', '1641', '55', '56', '1213', '1222', '1428', '84', '87', '159', '193', '275', '1089', '1130', '1402', '1640']"
Filtering,GUI_States,NO,All_GUI_Component_IDs,None,4,1.5,24,26,0.2077922077922078,0.2597402597402597,0.3116883116883117,0.3116883116883117,0.3116883116883117,0.3116883116883117,24,0.2961038961038961,0.3116883116883117,0.3116883116883117,0.30389610389610394,0.25108225108225113,0.19718614718614716,"['18', '19', '53', '117', '128', '130', '135', '206', '1096', '1202', '1224', '1399', '1430', '1481', '192', '200', '1146', '1151', '1205', '1563', '1428', '159', '1130', '1402']"
Filtering,All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,4,9.210526315789474,76,117,0.3246753246753247,0.4935064935064935,0.5584415584415584,0.6753246753246753,0.7142857142857143,0.8051948051948052,62,0.6714285714285714,0.8311688311688312,0.8701298701298701,0.7584415584415586,0.4889778652874824,0.43401644564864106,"['2', '8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '256', '1073', '1096', '1202', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '76', '92', '158', '160', '162', '192', '199', '200', '1150', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1223', '1641', '55', '56', '1213', '1428', '84', '159', '193', '275', '1089', '1130', '1402']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,4,9.210526315789474,76,117,0.3246753246753247,0.4935064935064935,0.5584415584415584,0.6753246753246753,0.7142857142857143,0.8051948051948052,62,0.6714285714285714,0.8311688311688312,0.8701298701298701,0.7584415584415586,0.4889778652874824,0.43401644564864106,"['2', '8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '256', '1073', '1096', '1202', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '76', '92', '158', '160', '162', '192', '199', '200', '1150', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1223', '1641', '55', '56', '1213', '1428', '84', '159', '193', '275', '1089', '1130', '1402']"
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,4,1.5416666666666667,24,26,0.2077922077922078,0.24675324675324675,0.3116883116883117,0.3116883116883117,0.3116883116883117,0.3116883116883117,24,0.29480519480519485,0.3116883116883117,0.3116883116883117,0.30324675324675326,0.24891774891774893,0.19610389610389609,"['18', '19', '53', '117', '128', '130', '135', '206', '1096', '1202', '1224', '1399', '1430', '1481', '192', '200', '1146', '1151', '1205', '1563', '1428', '159', '1130', '1402']"
Filtering,All_GUI_Component_IDs,NO,GUI_State_and_All_GUI_Component_IDs,None,4,9.31578947368421,76,117,0.33766233766233766,0.5064935064935064,0.5454545454545454,0.6753246753246753,0.7142857142857143,0.8051948051948052,62,0.6701298701298701,0.8441558441558441,0.8701298701298701,0.7571428571428573,0.49607917621209124,0.4390946521231517,"['2', '8', '10', '18', '19', '53', '117', '128', '129', '130', '135', '206', '256', '1096', '1202', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '1645', '76', '92', '158', '160', '162', '192', '199', '200', '1150', '1198', '1228', '1389', '1425', '1446', '1568', '71', '201', '1146', '1147', '1151', '1205', '1406', '248', '1563', '1223', '1641', '55', '56', '1213', '1428', '84', '159', '193', '275', '1089', '1130', '1402']"
