Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@2,Hit@3,Hit@4,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,GUI_States,NO,None,None,3,1.4285714285714286,28,30,0.26582278481012656,0.2911392405063291,0.35443037974683544,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.33924050632911396,0.35443037974683544,0.35443037974683544,0.3468354430379747,0.2995780590717299,0.23755274261603374,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '201', '1223', '1224', '256', '1399', '1428', '1430']"
Filtering,All_GUI_Component_IDs,NO,None,None,3,8.831168831168831,77,124,0.43037974683544306,0.5189873417721519,0.5569620253164557,0.6075949367088608,0.6329113924050633,0.7215189873417721,57,0.6164556962025317,0.7721518987341772,0.8481012658227848,0.6974683544303798,0.5283952343789987,0.4420295357917733,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '135', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,3,8.844155844155845,77,124,0.43037974683544306,0.5189873417721519,0.5569620253164557,0.6075949367088608,0.6329113924050633,0.7215189873417721,57,0.6164556962025317,0.7721518987341772,0.8354430379746836,0.6968354430379747,0.5283650957412652,0.4419993971540397,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '135', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '193', '1222', '199', '200', '201', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,GUI_States,None,3,1.5,28,30,0.25316455696202533,0.2911392405063291,0.34177215189873417,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.3367088607594937,0.35443037974683544,0.35443037974683544,0.34556962025316457,0.2921940928270042,0.23095991561181434,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '201', '1223', '1224', '256', '1399', '1428', '1430']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,3,9.233766233766234,77,124,0.379746835443038,0.5063291139240507,0.5569620253164557,0.5949367088607594,0.6329113924050633,0.7341772151898734,58,0.6113924050632912,0.7848101265822784,0.8481012658227848,0.7018987341772152,0.500923978829394,0.4197304172797237,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1223', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,3,9.246753246753247,77,124,0.379746835443038,0.5063291139240507,0.5569620253164557,0.5949367088607594,0.6329113924050633,0.7341772151898734,58,0.6113924050632912,0.7848101265822784,0.8354430379746836,0.7012658227848101,0.5008938401916605,0.41970027864199,"['2', '8', '10', '11', '18', '19', '1563', '1568', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '117', '1146', '1147', '1151', '128', '129', '130', '158', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '1222', '199', '200', '201', '1223', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,All_GUI_Component_IDs,None,3,1.6071428571428572,28,30,0.16455696202531644,0.3291139240506329,0.35443037974683544,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.3329113924050633,0.35443037974683544,0.35443037974683544,0.34367088607594937,0.2552742616033755,0.20617088607594938,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '201', '1223', '1224', '256', '1399', '1428', '1430']"
Filtering,All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,11.753246753246753,77,124,0.24050632911392406,0.379746835443038,0.4810126582278481,0.5443037974683544,0.620253164556962,0.7468354430379747,59,0.5759493670886077,0.7721518987341772,0.8481012658227848,0.6810126582278482,0.4004507021220999,0.35723293402689044,"['2', '8', '10', '11', '18', '19', '1563', '1568', '54', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '1146', '1147', '1151', '128', '129', '130', '158', '159', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '199', '200', '201', '1223', '1224', '1228', '248', '256', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,11.753246753246753,77,124,0.24050632911392406,0.379746835443038,0.4810126582278481,0.5443037974683544,0.620253164556962,0.7468354430379747,59,0.5759493670886077,0.7721518987341772,0.8481012658227848,0.6810126582278482,0.4004507021220999,0.35723293402689044,"['2', '8', '10', '11', '18', '19', '1563', '1568', '54', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '1146', '1147', '1151', '128', '129', '130', '158', '159', '160', '162', '1198', '1202', '1205', '1213', '1214', '191', '192', '193', '199', '200', '201', '1223', '1224', '1228', '248', '256', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,3,1.6071428571428572,28,30,0.16455696202531644,0.3291139240506329,0.35443037974683544,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.3329113924050633,0.35443037974683544,0.35443037974683544,0.34367088607594937,0.2552742616033755,0.20617088607594938,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '201', '1223', '1224', '256', '1399', '1428', '1430']"
