Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@2,Hit@3,Hit@4,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,GUI_States,NO,None,None,3,1.5,28,30,0.24050632911392406,0.3037974683544304,0.34177215189873417,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.3367088607594937,0.35443037974683544,0.35443037974683544,0.34556962025316457,0.2879746835443038,0.23306962025316458,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '201', '1223', '1224', '256', '1399', '1428', '1430']"
Filtering,All_GUI_Component_IDs,NO,None,None,3,5.3896103896103895,77,124,0.3924050632911392,0.5822784810126582,0.6582278481012658,0.7215189873417721,0.7468354430379747,0.8227848101265823,65,0.7088607594936709,0.8987341772151899,0.9113924050632911,0.8012658227848102,0.5527485121754256,0.4776597957517852,"['2', '8', '10', '11', '18', '19', '1563', '1568', '44', '1073', '53', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '1146', '1147', '1150', '1151', '128', '129', '130', '135', '158', '159', '160', '162', '1198', '1202', '1205', '1207', '1213', '1214', '191', '193', '1215', '1222', '199', '200', '201', '1223', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1445', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,3,5.3896103896103895,77,124,0.3924050632911392,0.5822784810126582,0.6582278481012658,0.7215189873417721,0.7468354430379747,0.8227848101265823,65,0.7088607594936709,0.8987341772151899,0.9113924050632911,0.8012658227848102,0.5527485121754256,0.4776597957517852,"['2', '8', '10', '11', '18', '19', '1563', '1568', '44', '1073', '53', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '1146', '1147', '1150', '1151', '128', '129', '130', '135', '158', '159', '160', '162', '1198', '1202', '1205', '1207', '1213', '1214', '191', '193', '1215', '1222', '199', '200', '201', '1223', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1445', '1446', '1481']"
Filtering,GUI_States,NO,GUI_States,None,3,1.5357142857142858,28,30,0.22784810126582278,0.2911392405063291,0.35443037974683544,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.33544303797468356,0.35443037974683544,0.35443037974683544,0.3449367088607595,0.2805907172995781,0.2259493670886076,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '201', '1223', '1224', '256', '1399', '1428', '1430']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,3,5.558441558441558,77,124,0.4177215189873418,0.5569620253164557,0.6329113924050633,0.6962025316455697,0.7341772151898734,0.8227848101265823,65,0.7025316455696202,0.8987341772151899,0.9240506329113924,0.7968354430379746,0.5572847790085319,0.4903478349093043,"['2', '8', '10', '11', '18', '19', '1563', '1568', '44', '1073', '53', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '1146', '1147', '1150', '1151', '128', '129', '130', '135', '158', '159', '160', '162', '1198', '1202', '1205', '1207', '1213', '1214', '191', '192', '193', '1215', '199', '200', '201', '1223', '1224', '1228', '209', '248', '256', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,3,5.571428571428571,77,124,0.4177215189873418,0.5569620253164557,0.6329113924050633,0.6962025316455697,0.7341772151898734,0.8227848101265823,65,0.7025316455696202,0.8987341772151899,0.9240506329113924,0.7968354430379746,0.5572573802469559,0.49032043614772824,"['2', '8', '10', '11', '18', '19', '1563', '1568', '44', '1073', '53', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '1146', '1147', '1150', '1151', '128', '129', '130', '135', '158', '159', '160', '162', '1198', '1202', '1205', '1207', '1213', '1214', '191', '192', '193', '1215', '199', '200', '201', '1223', '1224', '1228', '209', '248', '256', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,All_GUI_Component_IDs,None,3,1.6071428571428572,28,30,0.189873417721519,0.31645569620253167,0.34177215189873417,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.3329113924050633,0.35443037974683544,0.35443037974683544,0.34367088607594937,0.26476793248945146,0.21329113924050636,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '201', '1223', '1224', '256', '1399', '1428', '1430']"
Filtering,All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,9.558441558441558,77,124,0.25316455696202533,0.45569620253164556,0.5822784810126582,0.6708860759493671,0.7341772151898734,0.7848101265822784,62,0.6569620253164556,0.8227848101265823,0.8607594936708861,0.7411392405063291,0.44663706712345197,0.39020770402848887,"['2', '8', '11', '18', '19', '1563', '1568', '1073', '53', '54', '55', '56', '1089', '71', '1096', '76', '84', '92', '1641', '1130', '1645', '1146', '1147', '1151', '128', '129', '130', '135', '158', '159', '160', '162', '1198', '1202', '1205', '1207', '1213', '1214', '191', '192', '193', '1215', '199', '200', '201', '1223', '1224', '1228', '248', '256', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,9.558441558441558,77,124,0.25316455696202533,0.45569620253164556,0.5822784810126582,0.6708860759493671,0.7341772151898734,0.7848101265822784,62,0.6569620253164556,0.8227848101265823,0.8607594936708861,0.7411392405063291,0.44663706712345197,0.39020770402848887,"['2', '8', '11', '18', '19', '1563', '1568', '1073', '53', '54', '55', '56', '1089', '71', '1096', '76', '84', '92', '1641', '1130', '1645', '1146', '1147', '1151', '128', '129', '130', '135', '158', '159', '160', '162', '1198', '1202', '1205', '1207', '1213', '1214', '191', '192', '193', '1215', '199', '200', '201', '1223', '1224', '1228', '248', '256', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,3,1.5714285714285714,28,30,0.20253164556962025,0.31645569620253167,0.34177215189873417,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.3341772151898734,0.35443037974683544,0.35443037974683544,0.34430379746835443,0.2710970464135021,0.21645569620253166,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '201', '1223', '1224', '256', '1399', '1428', '1430']"
