Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@2,Hit@3,Hit@4,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,GUI_States,NO,None,None,3,1.5,28,29,0.24050632911392406,0.3037974683544304,0.34177215189873417,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.3367088607594937,0.35443037974683544,0.35443037974683544,0.34556962025316457,0.2879746835443038,0.22674050632911394,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '1223', '1224', '256', '1399', '1428', '1430', '1481']"
Filtering,All_GUI_Component_IDs,NO,None,None,3,5.3896103896103895,77,124,0.3924050632911392,0.569620253164557,0.6708860759493671,0.7215189873417721,0.7468354430379747,0.8227848101265823,65,0.7088607594936709,0.8987341772151899,0.9113924050632911,0.8012658227848102,0.5516936598547505,0.4766049434311101,"['2', '8', '10', '11', '18', '19', '1563', '1568', '44', '1073', '53', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '1146', '1147', '1150', '1151', '128', '129', '130', '135', '158', '159', '160', '162', '1198', '1202', '1205', '1207', '1213', '1214', '191', '193', '1215', '1222', '199', '200', '201', '1223', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1445', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,None,None,3,5.3896103896103895,77,124,0.3924050632911392,0.569620253164557,0.6708860759493671,0.7215189873417721,0.7468354430379747,0.8227848101265823,65,0.7088607594936709,0.8987341772151899,0.9113924050632911,0.8012658227848102,0.5516936598547505,0.4766049434311101,"['2', '8', '10', '11', '18', '19', '1563', '1568', '44', '1073', '53', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '1146', '1147', '1150', '1151', '128', '129', '130', '135', '158', '159', '160', '162', '1198', '1202', '1205', '1207', '1213', '1214', '191', '193', '1215', '1222', '199', '200', '201', '1223', '1224', '1228', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1445', '1446', '1481']"
Filtering,GUI_States,NO,GUI_States,None,3,1.6071428571428572,28,29,0.21518987341772153,0.27848101265822783,0.35443037974683544,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.3329113924050633,0.35443037974683544,0.35443037974683544,0.3436708860759494,0.27215189873417717,0.21540084388185654,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '1223', '1224', '256', '1399', '1428', '1430', '1481']"
Filtering,All_GUI_Component_IDs,NO,GUI_States,None,3,5.415584415584416,77,124,0.3924050632911392,0.5569620253164557,0.6329113924050633,0.6962025316455697,0.7468354430379747,0.8354430379746836,66,0.7037974683544304,0.9113924050632911,0.9240506329113924,0.8037974683544304,0.5461988309531125,0.48535402454501736,"['2', '8', '10', '11', '18', '19', '1563', '1568', '44', '1073', '53', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '1146', '1147', '1150', '1151', '128', '129', '130', '135', '158', '159', '160', '162', '1198', '1202', '1205', '1207', '1213', '1214', '191', '192', '193', '1215', '199', '200', '201', '1223', '1224', '1228', '206', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1445', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,GUI_States,None,3,5.428571428571429,77,124,0.3924050632911392,0.5569620253164557,0.6329113924050633,0.6962025316455697,0.7468354430379747,0.8354430379746836,66,0.7037974683544304,0.9113924050632911,0.9240506329113924,0.8037974683544304,0.5461714321915364,0.4853266257834414,"['2', '8', '10', '11', '18', '19', '1563', '1568', '44', '1073', '53', '55', '56', '1089', '71', '1096', '76', '84', '92', '1640', '1641', '1130', '1645', '1146', '1147', '1150', '1151', '128', '129', '130', '135', '158', '159', '160', '162', '1198', '1202', '1205', '1207', '1213', '1214', '191', '192', '193', '1215', '199', '200', '201', '1223', '1224', '1228', '206', '209', '248', '275', '1299', '1389', '1399', '1406', '1425', '1428', '1430', '1441', '1445', '1446', '1481']"
Filtering,GUI_States,NO,All_GUI_Component_IDs,None,3,1.6428571428571428,28,29,0.189873417721519,0.3037974683544304,0.34177215189873417,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.33164556962025316,0.35443037974683544,0.35443037974683544,0.3430379746835443,0.2626582278481013,0.2088080168776371,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '1223', '1224', '256', '1399', '1428', '1430', '1481']"
Filtering,All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,9.779220779220779,77,124,0.25316455696202533,0.45569620253164556,0.569620253164557,0.6455696202531646,0.7341772151898734,0.7721518987341772,61,0.650632911392405,0.8354430379746836,0.8607594936708861,0.7386075949367088,0.4438125613564816,0.39242031737591615,"['2', '8', '11', '18', '19', '1563', '1568', '1073', '53', '55', '56', '1089', '71', '1096', '76', '84', '92', '1641', '1130', '1645', '1146', '1147', '1151', '128', '129', '130', '135', '158', '159', '160', '162', '1198', '1202', '1205', '1207', '1213', '1214', '191', '192', '193', '1215', '199', '200', '201', '1223', '1224', '1228', '248', '256', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,All_GUI_Component_IDs,None,3,9.779220779220779,77,124,0.25316455696202533,0.45569620253164556,0.569620253164557,0.6455696202531646,0.7341772151898734,0.7721518987341772,61,0.650632911392405,0.8354430379746836,0.8607594936708861,0.7386075949367088,0.4438125613564816,0.39242031737591615,"['2', '8', '11', '18', '19', '1563', '1568', '1073', '53', '55', '56', '1089', '71', '1096', '76', '84', '92', '1641', '1130', '1645', '1146', '1147', '1151', '128', '129', '130', '135', '158', '159', '160', '162', '1198', '1202', '1205', '1207', '1213', '1214', '191', '192', '193', '1215', '199', '200', '201', '1223', '1224', '1228', '248', '256', '275', '1299', '1389', '1399', '1402', '1406', '1425', '1428', '1430', '1441', '1446', '1481']"
Filtering,GUI_States,NO,GUI_State_and_All_GUI_Component_IDs,None,3,1.6071428571428572,28,29,0.189873417721519,0.31645569620253167,0.34177215189873417,0.35443037974683544,0.35443037974683544,0.35443037974683544,28,0.3329113924050633,0.35443037974683544,0.35443037974683544,0.34367088607594937,0.26476793248945146,0.2090717299578059,"['8', '11', '18', '19', '1563', '53', '1089', '1130', '117', '1146', '1151', '128', '130', '135', '159', '162', '1202', '1205', '192', '199', '200', '1223', '1224', '256', '1399', '1428', '1430', '1481']"
