Bug-ID;OB-ID;OB-Text;Top-3-Screens;Sequence-IDs;Screenshot-Paths
Bug2;0;app crash when change view by in report section;{'f189f23124c6c372973bbff27e30b7107f27022f74836d7085daf2817f565790': 2.5680792, 'c73baec5341ca7597ddef244067a27040e0496b4ead7b7f27231070848c360d0': 2.002898, '8230c5642c2f1cae14743e0539d20e3fbc1985c000a155eab7da60ad3fbd1e59': 1.8869748};[100, 35, 89];['../data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance101.png', '../data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance85.png', '../data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance88.png']
Bug2;1;"when the user changes the appearance of the report from ""view value"" to ""use percent value"" this application will crash and stop working";{'f189f23124c6c372973bbff27e30b7107f27022f74836d7085daf2817f565790': 3.012657, '8230c5642c2f1cae14743e0539d20e3fbc1985c000a155eab7da60ad3fbd1e59': 1.6558385, '39c0cba34d2b959df3bfbca4bea67971d5b18dd222a09b836cc655f6c8824659': 0.9139597};[100, 89, 69];['../data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance101.png', '../data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance88.png', '../data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance78.png']
Bug2;2;6. see errors;{'edb7420417e034ae12bad464e3520240077bd1b4c6c54203a6e8ab0d12c034ea': -1.0017651, '2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0': -1.0061264, 'a8ea42ee84b2eb016ce6fd4a82c100c85533ca851424f13c19bd4648c20afff6': -1.2199997};[57, 103, 108];['../data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance56.png', '../data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance102.png', '../data/TraceReplayer-Data/TR2/io.github.zwieback.familyfinance.debug-1.5.5-DEBUG/screenshots/io.github.zwieback.familyfinance.debug.User-Trace.1.io.github.zwieback.familyfinance.debug_1.5.5-DEBUG_familyfinance107.png']
Bug8;0;NPE on create payment;{'0ed55cde92a3feeca808a39a1276cede17a00b5f2f1ea3dd190d3a68229b3c22': 3.9369419, 'd73b66942d2e9475c8c1b2a463ead05171b6944d79e3012ad63827084aa42267': 3.8956676, '2e5e422dbfe6aa35ea4c9e89f4f1f4696811d7115b56f663b5a3945ee91a4c55': 3.846119};[30, 41, 35];['../data/TraceReplayer-Data/TR8/de.koelle.christian.trickytripper-1.6.0/screenshots/de.koelle.christian.trickytripper.User-Trace.1.de.koelle.christian.trickytripper_1.6.0_trickytripper32.png', '../data/TraceReplayer-Data/TR8/de.koelle.christian.trickytripper-1.6.0/screenshots/de.koelle.christian.trickytripper.User-Trace.1.de.koelle.christian.trickytripper_1.6.0_trickytripper44.png', '../data/TraceReplayer-Data/TR8/de.koelle.christian.trickytripper-1.6.0/screenshots/de.koelle.christian.trickytripper.User-Trace.1.de.koelle.christian.trickytripper_1.6.0_trickytripper38.png']
Bug10;0;FTP server restarted if app is killed after stopping it;{'a0ae2c21a12bc864024f18b7af900668f54e251f7fd5fc6e49da5bf1f8c6a013': 3.5413826, 'a92536da6b0e0ed03539ad451ca79e6d7b9441f0d499de77515f2e9da10b618c': 2.1316488, '0f07de9a0c5c5718fc51f783fc6f8aed3f8a87dcc3a8f8f2e437d48cadef943b': 2.0863411};[17, 64, 78];['../data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files48.png', '../data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files68.png', '../data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files77.png']
Bug10;1;Server restarts by its own.;{'a0ae2c21a12bc864024f18b7af900668f54e251f7fd5fc6e49da5bf1f8c6a013': 0.12505862, '201682e804aa4100777d0764c54cb843b54964ac286078371f16227d38618337': -0.8630811, 'c293fdb0e82c0463154866eea37879c3e3e00311b1e1adf6d76a89121d5997be': -0.903764};[17, 66, 63];['../data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files48.png', '../data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files65.png', '../data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files62.png']
Bug18;0;Can't open the add/remove medicine stock dialog;{'63494acb0226f2b426d7b0498b92fdd4a7f17608803ad7b30503098fbe19672d': 2.692112, 'e62648d9319d2449ed4739f4af6f0edab6003e1d10d122226ec6bba2c1d0ee21': 2.6576943, '7e94abdee93cd54938aa3f93b277cfa6b2dfd532f40b819ebfd8118978f2f5ab': 2.5724394};[31, 14, 84];['../data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula31.png', '../data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula81.png', '../data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula85.png']
Bug18;1;I get kicked back to the medicine screen.;{'3f179ad0eb89121830b8b15d60e0708416826f8bd0c3dc573f90192d8928a356': 1.163587, 'e353fb60f37b0eaa2444662e228d0351dde5cae040a291bd7655058826e451de': 1.0937684, '8d0a3462bafeecedb44922aa9c09940d7a0ff4a4ebe9d87eee3b7e806da8d0d5': 1.0827448};[21, 23, 12];['../data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula24.png', '../data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula29.png', '../data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula23.png']
Bug19;0;cursor jumps before housenumber when adding letter;{'89492118b0a59940bea9ed5e7a13dd8d1b36d2c5d5a7776e169cad36cb4db409': 2.8917317, '9253f6a470c03c51c0336600f51a86c0b1bbf467076b4fc430d25a83e2ec7926': 1.838958, '151a296b4878e41743f4b669b745f8bf4c295975a549a2ebba7b93b01992cfd7': 1.0948013};[8, 50, 33];['../data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete7.png', '../data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete51.png', '../data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete47.png']
Bug19;1;"3. the cursor jumps before the number, so when you insert ""a"" you have ""a10"" instead of ""10a""";{'89492118b0a59940bea9ed5e7a13dd8d1b36d2c5d5a7776e169cad36cb4db409': -0.11203456, '9253f6a470c03c51c0336600f51a86c0b1bbf467076b4fc430d25a83e2ec7926': -0.2948181, '62b7ebfcc75ce2ee7489b0ddad51d3d01bb6358188d1f0babd2c41fe9440a6ef': -0.7212996};[8, 50, 25];['../data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete7.png', '../data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete51.png', '../data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete59.png']
